SNo,Question,OptionA,OptionB,OptionC,OptionD,Answer,Name,LOD
1,Accessing an element in a Python list is as quick as accessing an element in an array in C,TRUE,FALSE,,,FALSE,srinivas,Easy
2,What is the default algorithm used by sort() method in Python?,Bubble Sort,Insertion Sort,Merge Sort,Quick Sort,Merge sort,srinivas,Easy
3,What will be the value printed?,Error,"[2, 4, 6, 8, 10]","[4, 16, 36, 64, 100]","[2, 4, 36, 64, 10]","[4, 16, 36, 64, 100]",srinivas,Easy
4, What does stdio stand for?,secure input output,Standard Input Output,streamed input output,String Input Output,Standard Input Output,Haneet,Easy
5,What is the maximum length of a Python identifier?,128,32,16,No fixed length,D,saswata,Easy
6,,633,632,8,error,A,saswata,Easy
7,which of the following initialises each block value to 0 during dynamic allocation,malloc,realloc,calloc,none,calloc,Haneet,Easy
8,C is a ______________,Assembly Language,Structured Programming Language,Object Oriented Language,None of these,Structured Porgramming Language,Haneet,Easy
9,How will you convert the uppercase characters to lowercase  in python,lower(),toLower(),lowerCase(),toLow(),A,Adwaita,Easy
10,Which of the following is an OOPS concept,Abstraction,Encapsulation,Polymorphism,All of the above,D,Adwaita,Easy
11,"# predict output
dict={26:26,20:'20','26':26,'20':30}
dict['26']=20
print(dict[dict[dict[str(dict[26])]]])",26,30,20,    '20',B,Adwaita,Easy
12,What will be the datatype of the var in the below code snippet?,str and int,int and int,str and str,int and str,str and int,saswata,Easy
13,Which of the following concepts is not a part of Python?,Dynamic type casting,Dictionary ,pointers ,All of the above,pointers,saswata,Easy
14,What will be the output of the following code snippet?,0,1,2,error,B,saswata,Easy
15,What is the output for the program?,4525,2525,4545,None,A,Haneet,Easy
16,What will be the output of the following code snippet?,Global,Local,None,error,B,saswata,Easy
17,"What is the output of this statement ""printf(""%d"", (a++))""?",The value of (a + 1),The current value of a,Error message,Garbage,B,Haneet,Easy
18,Which of the following types of loops are not supported in Python?,for,do while,while,none,B,saswata,Easy
19,"# predict output
def calc_disp(x):
    if(x == 0):
        return 0

    return calc_disp(x-1)+2*x-1
print(calc_disp(12))",60,144,24,0,B,Adwaita,Easy
20,"On applying format function on a string , it will return ",int,bool,str,null,C,Adwaita,Easy
21,"If abcdefg is the input, the output will be

int main()  
{  
   char x [10], *ptr = x;  
  scanf (""%s"", x);  
  change(&x[4]);  
}  
 change(char a[])  
 {  
   puts(a);  
 }  ",abcd,abc,efg,garbage,C,Haneet,Easy
22,Which of the following is an infinite LOOP,for(1):,while(1):,while(0):,None,B,Adwaita,Easy
23,,,,,,,,Easy
24,What is faster a loop or recursion?,Loop,Recursion ,Both have same speed,None,A,Harsh Rajpal,Easy
25,What is the output of for(int x=5;x>1;x--) which pre decrements x by 1 in its body everytime it runs.,2345,42,5432,53,C,Harsh Rajpal,Easy
26,"In Python,  print(APPLE == BANANA) will print ?",False ,TRUE,Name Error,Type error,C,Harsh Rajpal,Easy
27,"""L[::-1]"" What happens to a list L in python?",Slice the list in half,Error,Make every element null,Reverse the list,D,Harsh Rajpal,Easy
28,"In Python, result of print(11.21%10)",1.121,1.21,Error,112.1,B,Harsh Rajpal,Easy
29,"Find the output:   r = lambda q: q * 5
s = lambda q: q * 3
x = 1
x = s(x) 
x = s(x) 
x = r(x) 
print (x)
",14,45,15,20,B,Shubh Kapil,Easy
30,Why did ALFRED VAINO AHO win the Turing award for 2020,"For fundamental algorithms and theory underlying programming language implementation and for synthesizing these results and those of others in their highly influential books, which educated generations of computer scientists.","For fundamental contributions to 3D computer graphics, and the impact of computer-generated imagery (CGI) in filmmaking and other applications.","In recognition of his fundamental contributions to the theory of computation, including the complexity-based theory of pseudorandom number generation, cryptography, and communication complexity.","for ideas fundamental to the emergence of object oriented programming, through their design of the programming languages Simula I and Simula 67.","a) For fundamental algorithms and theory underlying programming language implementation and for synthesizing these results and those of others in their highly influential books, which educated generations of computer scientists.",Garv Tandon,Easy
31,"What does the following function return when called with a=5 and b=5:

fun add(a,b):
print(a+b)",10,None,a+b,Arbitrary Value,b,Garv Tandon,Easy
32,"What does the following function return when called with a=1 and b=2:

fun add(a,b):
print(a+b)",3,None,a+b,Arbitrary Value,b,Garv Tandon,Easy
33,"What does the following function return when called with a=10 and b=10:

fun add(a,b):
print(a+b)",10,None,20,Arbitrary Value,b,Garv Tandon,Easy
34,"What does the following function return when called with a=5 and b=10:

fun add(a,b):
print(a+b)",15,None,10,Arbitrary Value,b,Garv Tandon,Easy
35,"What does the following function return when called with a=5 and b=4:

fun add(a,b):
print(a+b)",9,None,a+b,Arbitrary Value,b,Garv Tandon,Easy
36,What is passed to a function while calling it?,Keyword,Parameter,Argument,Statement,c,Garv Tandon,Easy
37,Do we have null value in python,TRUE,FALSE,,,b,Garv Tandon,Easy
38,Do we have None value in python,TRUE,FALSE,,,a,Garv Tandon,Easy
39,"Find the output of the following:

#include<iostream.h>
using namespace std;

int main()
{
int a = 3;

if(a>0)
{
int a = 5;
cout<<a<<endl;
}

cout<<a<<endl;
}","3
5
","
3
3
","5
5","5
3",D,Shubh Kapil,Easy
40,Which of the following loops are not supported in python,For,While,Do While,None of these,Do While,Surbhit,Easy
41,Which of the following is not a valid set operation in python,Difference,Union,Intersection,None of these,None of these,Surbhit,Easy
42,What is #include<stdio.h>,Inclusion directive,Preprocessor directive,File inclusion directive,None of these,Preprocessor directive,Surbhit,Easy
43,Which of the following is a fibonacci series-:,"0,1,1,2,3,5,8,13,21…..","0,1,1,2,4,8,32,256....","0,1,-1,0,-2,-4,-6…",NOTA,A,Eshan,Easy
44, Which of these is Floyd’s Triangle-:,,,,,A,Eshan,Easy
45,"In C++ which of these classes are not required for file handling?",OfStream,IfStream,Fstream,conio,D,Eshan,Easy
46,"Find the output of the following:

#include<iostream.h>
using namespace std;

int main()
{
int a = 15;

if(a>20)
{
int a = 50;
cout<<a<<endl;
}

cout<<a<<endl;
}",15,50,"15
50","50
15",A,Shubh Kapil,Easy
47,Is Python case sensitive when dealing with identifiers? ,yes,no,Machine dependent,NOTA,A,Eshan,Easy
48,What is the maximum possible length of an identifier?,31 Characters,63 Characters,79 Characters,NOTA,D,Eshan,Easy
49,What is the maximum possible length of an identifier?,37 Characters,103 Characters,89 Characters,NOTA,D,Eshan,Easy
50,What is the maximum possible length of an identifier?,51 Characters,163 Characters,95 Characters,NOTA,D,Eshan,Easy
51,What is the maximum possible length of an identifier?,0 Characters,infinite Characters,7 Billion Characters,NOTA,D,Eshan,Easy
52,What is the maximum possible length of an identifier?,777 Characters,infinite Characters,Depends on OS,NOTA,D,Eshan,Easy
53,Which of the following is invalid?, _a = 1,__a=1,___str___=2,NOTA,D,Eshan,Easy
54,,,,,,,Shubh Kapil,Easy
55,,,,,,,Shubh Kapil,Easy
56,,,,,,,Shubh Kapil,Easy
57,,,,,,,Shubh Kapil,Easy
58,,,,,,,Shubh Kapil,Easy
59,,,,,,,Shubh Kapil,Easy
60,Which of the following is invalid?, _a = 1,__a=1,___str___=2,NOTA,D,Eshan,Easy
61,Which of the following is invalid?, _z_ = 1,a=1,___str1__=2,NOTA,D,Eshan,Easy
62,Which of the following is invalid?, _ahdbj = 1,_a_markZ=1,___stBot_=2,NOTA,D,Eshan,Easy
63,Which of the following is invalid?, _aPubg = 1,__aFortnite=1,___strCODM=2,NOTA,D,Eshan,Easy
64,Which of the following is invalid?, _IronMan = 1,_aNtman=1,___strange=2,NOTA,D,Eshan,Easy
65,What is the output of print 0.1 + 0.2 == 0.3?,TRUE,FALSE,Machine Dependent,Error,b,Eshan,Easy
66,"What is the result of cmp(3, 1)?",1,0,TRUE,FALSE,A,Eshan,Easy
67,"What is the result of cmp(3, 10)?",1,0,TRUE,FALSE,b,Eshan,Easy
68,"What is the result of cmp(30, 11)?",1,0,TRUE,FALSE,A,Eshan,Easy
69,"What is the result of cmp(3, 55555777)?",1,0,TRUE,FALSE,B,Eshan,Easy
70,"What is the result of cmp(696969, 969696)?",1,0,TRUE,FALSE,B,Eshan,Easy
71,Which of the following is incorrect?,float('inf'),float('nan'),float('56'+'78'),float('12+34'),d,Eshan,Easy
72,Which of the following is incorrect?,float('inf'),float('nan'),float('56'+'99'),float('1+34'),d,Eshan,Easy
73,Which of the following is incorrect?,float('inf'),float('nan'),float('54'+'777'),float('1+3'),d,Eshan,Easy
74,Which of the following is incorrect?,float('inf'),float('nan'),float('56'+'788'),float('2+3'),d,Eshan,Easy
75,Which of the following is incorrect?,float('inf'),float('nan'),float('576'+'78'),float('12+3'),d,Eshan,Easy
76,Which of the following statements create a dictionary?,d={},"d = {40:”john”, 45:”peter”}","d = {“john”:40, “peter”:45}",All of the Above,d,Eshan,Easy
77,Which of the following is a Python tuple?,"[1,2,3]","(1,2,3)","{1,2,3}",{},B,Eshan,Easy
78,What is the value of x if: x = int(33.55+2/2),34,35,34.55,None of these,a,Surbhit,Easy
79,What is the value of x if: x = int(13.55+9/2),18.05,18,19,19.05,b,Surbhit,Easy
80,What is the value of x if: x = int(42.17+8/2),47,46,46.17,none of these,b,Surbhit,Easy
81,"What is the result of this code? a=[1,2,3,4,5,6,7,8,9] a[:9:2]","[1,2]","[1,3]",syntax error,"[1,3,5,7]",D,Ankit Sidana,Easy
82,"What is the result of this code? a=[1,2,3,4,5,6,7,8,9] a[::2]","[1,2]","[1,3]",syntax error,"[1,3,5,7,9]",D,Ankit Sidana,Easy
83,"What is the result of this code? a=[1,2,3,4,5,6,7,8,9] a[::3]","[1,4,7]","[2,5,8]",syntax error,"[1,5,9]",A,Ankit Sidana,Easy
84,"What is the result of this code? a=[1,2,3,4,5,6,7,8,9] a[::4]","[1,4,7]","[2,5,8]","[1,5,9]",syntax error,C,Ankit Sidana,Easy
85,"What is the result of this code? a=[1,2,3,4,5,6,7,8,9] a[1::4]","[5,9]","[4,8]","[1,5,9]",syntax error,A,Ankit Sidana,Easy
86,Evaluate and answer 3 + (2 * 5) + 4 + 3**2,26,24,25,27,a,Surbhit,Easy
87,Evaluate and answer 1 + (2 * 5) + 4 * 3**3,120,118,119,117,b,Surbhit,Easy
88,Evaluate and answer 3 - (2 ** 5) * 4 + 3**4,-44,45,44,46,b,Surbhit,Easy
89,Evaluate and answer 3 * (2 - 3) * 4 + 3*4,0,-1,1,2,a,Surbhit,Easy
90,Evaluate and answer 3 + (2 * 5) + 4 + 3**6,745,747,746,742,c,Surbhit,Easy
91,"Suppose t = (1, 2, 4, 3), which of the following is incorrect?",print(t[3]),t[3]=45,print(max(t)),print(len(t)),b,Eshan,Easy
92,"Suppose t = (1, 2, 7, 3), which of the following is incorrect?",print(t[1]),t[3]=48,print(max(t)),print(len(t)),b,Eshan,Easy
93,"Suppose t = (1, 72, 44, 3), which of the following is incorrect?",print(t[1]),t[3]=78,print(max(t)),print(len(t)),b,Eshan,Easy
94,"Suppose t = (1, 2, 14, 73), which of the following is incorrect?",print(t[3]),t[3]=55,print(max(t)),print(len(t)),b,Eshan,Easy
95,"Suppose t = (1, 782, 4, 43), which of the following is incorrect?",print(t[3]),t[3]=777,print(max(t)),print(len(t)),b,Eshan,Easy
96,"If a={5,6,7,8}, which of the following statements is false?",print(len(a)),print(min(a)),a.remove(5),a[2] = 45,d,Eshan,Easy
97,"If a={56,67,71,81}, which of the following statements is false?",print(len(a)),print(min(a)),a.remove(5),a[2] = 45,d,Eshan,Easy
98,"If a={57,65,77,84}, which of the following statements is false?",print(len(a)),print(min(a)),a.remove(5),a[2] = 45,d,Eshan,Easy
99,"If a={5,677,77,88}, which of the following statements is false?",print(len(a)),print(min(a)),a.remove(5),a[2] = 45,d,Eshan,Easy
100,"If a={44,6,7,87}, which of the following statements is false?",print(len(a)),print(min(a)),a.remove(5),a[2] = 45,d,Eshan,Easy
101,"If a={5,6,7}, what happens when a.add(5) is executed?"," a={5,5,6,7}","a={5,6,7}",Error as there is no add function for set data type,Error as 5 already exists in the set,b,Eshan,Easy
102,"If a={8,9,10}, what happens when a.add(50) is executed?"," a={8,9,10,50}","a={8,9,10}",Error as there is no add function for set data type,Error as 50 already exists in the set,a,Eshan,Easy
103,"Select the correct statements:

I. We define classes and functions with the def keyword.
II. A class can define an object
III. sets are mutable.
IV. List is imutable.


",II and III,III and IV,II and IV,All of the above,a,Umesh,Easy
104,which of the following is the output,Error,No output,Exception,empty line,d,Umesh,Easy
